,date,open,high,low,ltp,% change,turnover,close
0,2024-03-31,175.0,178.2,173.2,173.6,-0.8,33640478.4,175.0
1,2024-03-28,175.0,176.9,174.0,175.0,-0.23,37280054.6,175.29999999999998
2,2024-03-27,179.0,179.0,175.1,175.4,-0.85,28365811.9,176.5
3,2024-03-26,176.0,178.8,175.5,176.9,0.51,38776697.9,177.0666666666667
4,2024-03-25,180.0,181.0,175.5,176.0,-1.95,45256173.8,177.5
5,2024-03-21,180.1,181.9,178.3,179.5,-0.33,54972079.9,179.9
6,2024-03-20,184.4,184.4,180.0,180.1,-0.39,70568967.3,181.5
7,2024-03-19,183.0,183.7,180.0,180.8,-0.44,69891976.3,181.5
8,2024-03-18,183.0,183.1,178.0,181.6,-0.66,116415550.6,180.9
9,2024-03-17,190.0,190.0,182.5,182.8,-2.71,137881654.3,185.1
10,2024-03-14,180.0,190.7,170.0,187.9,2.34,508908099.6,182.86666666666667
11,2024-03-13,200.0,200.0,183.6,183.6,-10.0,155448625.8,189.0666666666667
12,2024-03-12,200.9,205.0,196.9,204.0,-0.49,22062199.4,201.96666666666667
13,2024-03-10,210.1,210.1,205.0,205.0,-0.87,5514401.4,206.70000000000002
14,2024-03-07,209.0,209.1,204.0,206.8,0.88,5845924.9,206.63333333333335
15,2024-03-06,205.0,210.0,201.9,205.0,0.0,7307368.9,205.63333333333333
16,2024-03-05,218.0,218.0,205.0,205.0,-4.3,17085050.6,209.33333333333334
17,2024-03-04,199.9,214.2,199.9,214.2,9.29,400018.0,209.4333333333333
18,2024-03-03,200.0,200.9,196.0,196.0,-0.51,5438848.9,197.63333333333333
19,2024-02-29,203.9,203.9,197.0,197.0,-1.5,8910624.3,199.29999999999998
20,2024-02-28,202.0,202.0,198.2,200.0,-0.99,4806184.1,200.0666666666667
21,2024-02-27,206.0,207.0,200.3,202.0,-0.98,3131147.3,203.1
22,2024-02-26,193.7,207.8,193.6,204.0,4.45,8509411.5,201.79999999999998
23,2024-02-25,196.1,199.9,195.0,195.3,-1.81,9679694.8,196.73333333333335
24,2024-02-22,205.9,205.9,198.9,198.9,-2.02,12825839.9,201.23333333333335
25,2024-02-21,207.0,207.0,202.0,203.0,-0.73,10640756.4,204.0
26,2024-02-20,208.0,208.0,203.0,204.5,-0.29,7766253.5,205.16666666666666
27,2024-02-18,205.0,210.0,205.0,205.1,-1.39,7904031.9,206.70000000000002
28,2024-02-15,207.1,210.3,207.0,208.0,-0.95,8370348.9,208.4333333333333
29,2024-02-14,210.0,213.0,208.0,210.0,-0.94,5936649.8,210.33333333333334
30,2024-02-13,220.0,220.0,211.1,212.0,-1.85,8705088.1,214.36666666666667
31,2024-02-12,219.0,219.3,215.0,216.0,0.47,9636984.8,216.76666666666665
32,2024-02-11,218.0,221.4,215.0,215.0,0.0,15370003.3,217.13333333333333
33,2024-02-08,213.8,216.0,212.0,215.0,2.04,10826876.1,214.33333333333334
34,2024-02-07,211.0,213.1,209.1,210.7,0.81,8600063.9,210.96666666666667
35,2024-02-06,210.0,210.0,205.0,209.0,0.48,9410073.7,208.0
36,2024-02-05,209.0,210.0,205.0,208.0,0.48,7844566.5,207.66666666666666
37,2024-02-04,211.0,213.0,206.0,207.0,-1.43,11151925.2,208.66666666666666
38,2024-02-01,219.3,219.3,209.7,210.0,-2.33,18955417.1,213.0
39,2024-01-31,212.7,222.0,212.7,215.0,-0.92,16979309.1,216.5666666666667
40,2024-01-30,216.0,220.3,214.0,217.0,0.46,16127175.3,217.1
41,2024-01-29,219.0,222.0,215.0,216.0,-0.92,14871752.3,217.66666666666666
42,2024-01-28,220.0,220.8,215.0,218.0,0.46,14906781.7,217.9333333333333
43,2024-01-25,216.0,223.0,216.0,217.0,-1.36,15969348.6,218.66666666666666
44,2024-01-24,229.2,229.2,218.0,220.0,-2.14,26460542.2,222.4
45,2024-01-23,223.5,231.0,220.6,224.8,-0.75,20022140.9,225.4666666666667
46,2024-01-22,244.8,244.8,221.0,226.5,-5.63,47271184.9,230.76666666666665
47,2024-01-21,240.7,252.0,227.0,240.0,1.69,72387060.0,239.66666666666666
48,2024-01-18,250.0,251.0,226.0,236.0,-4.84,83745895.5,237.66666666666666
49,2024-01-17,237.2,255.8,232.6,248.0,6.62,87075826.9,245.46666666666667
50,2024-01-16,212.0,232.6,211.5,232.6,9.98,68865884.3,225.5666666666667
51,2024-01-14,197.9,213.1,196.0,211.5,6.87,47498002.5,206.86666666666667
52,2024-01-11,197.0,197.9,193.6,197.9,0.56,16520952.7,196.46666666666667
53,2024-01-10,201.9,201.9,195.5,196.8,-0.61,14223199.7,198.0666666666667
54,2024-01-09,204.0,205.0,197.2,198.0,-1.0,22039281.0,200.0666666666667
55,2024-01-08,202.9,204.0,198.7,200.0,-0.94,13701775.1,200.9
